Night School,454293,$1672715,3010,$28930330,4
Smallfoot,446894,$1057158,4131,$24102793,4
The House With A Clock In Its Walls,463821,$653045,3592,$45511390,11
A Simple Favor,484247,$536393,3073,$43543867,18
Hell Fest,429476,$470157,2297,$5601120,4
The Nun,439079,$428490,3331,$109440413,25
The Predator,346910,$326905,2926,$48121982,18
Crazy Rich Asians,455207,$322394,2347,$165956957,48
White Boy Rick,438808,$245088,2017,$21977109,18
Peppermint,458594,$198458,2002,$33721824,25
My Hero Academia: Two Heroes,505262,$1021607,508,$5138453,8
The Trump Prophecy,548887,$322646,553,$671198,3
Venom,335983,$32503530,4250,$32503530,1
A Star is Born,332562,$15670638,3686,$17020638,1
The Dawn Wall,489471,$243739,427,$970032,6
MFKZ,461615,$101614,436,$101614,1
First Man,369972,$5783310,3640,$5783310,1
Goosebumps 2: Haunted Halloween,442062,$4820864,3521,$4820864,1
Bad Times At The El Royale,446021,$2810478,2808,$2810478,1
The Hate U Give,470044,$521651,248,$1233965,8
Gosnell: The Trial of Americas Biggest Serial Killer,537751,$352704,673,$1162988,3
Halloween,424139,$33083030,3928,$33083030,1
The Old Man & the Gun,429203,$693567,802,$2844423,22
Hunter Killer,399402,$2559110,2728,$2559110,1
Mid90s,437586,$1341477,1206,$1691647,8
Bohemian Rhapsody,424694,$18811564,4000,$18811564,1
The Nutcracker and the Four Realms,426543,$5890162,3766,$5890162,1
Nobodys Fool,11593,$4842103,2468,$4842103,1
Dragon Ball Z: Saiyan Double Feature,560356,$251340,691,$539435,3
Thugs of Hindostan,472138,$264462,377,$264462,1
The Grinch,360920,$18641165,4141,$18641165,1
Overlord,438799,$3794798,2859,$3794798,1
The Girl in the Spiders Web,446807,$3037438,2929,$3037438,1
Cirque du Soleil: KURIOS - Cabinet Of Curiosities,558130,$412540,522,$412540,1
TCM Presents: Die Hard 30th Anniversary,559551,$188509,687,$510213,4
Burn the Stage: The Movie,553512,$1223706,635,$1223706,1
Fantastic Beasts: The Crimes of Grindelwald,338952,$25473261,4163,$25473261,1
Instant Family,491418,$4535317,3286,$4535317,1
Widows,401469,$4204512,2803,$4204512,1
Ralph Breaks the Internet,404368,$18340440,4017,$18340440,1
Creed II,480530,$11576440,3359,$11576440,1
Robin Hood,375588,$3159319,2715,$3159319,1
Green Book,490132,$911425,1063,$1311826,6
Day,465136,3,"<a href=""/studio/chart/??view2=calendar&amp;yr=2018&amp;studio=warnerbros.htm"">WB</a>","<nobr><font color=""#ff0000"">-38%</nobr>","<nobr><font color=""#ff0000"">-80%</nobr>"
MGM,326626,4,"<a href=""/studio/chart/??view2=calendar&amp;yr=2018&amp;studio=universal.htm"">Uni.</a>","<nobr><font color=""#ff0000"">-41%</nobr>","<nobr><font color=""#ff0000"">-85%</nobr>"
BV,286640,5,"<a href=""/studio/chart/??view2=calendar&amp;yr=2018&amp;studio=fox.htm"">Fox</a>","<nobr><font color=""#ff0000"">-26%</nobr>","<nobr><font color=""#ff0000"">-67%</nobr>"
WB,474566,6,"<a href=""/studio/chart/??view2=calendar&amp;yr=2018&amp;studio=paramount.htm"">Par.</a>","<nobr><font color=""#ff0000"">-40%</nobr>","<nobr><font color=""#ff0000"">-70%</nobr>"
Uni.,27307,7,"<a href=""/studio/chart/??view2=calendar&amp;yr=2018&amp;studio=fox.htm"">Fox</a>","<nobr><font color=""#ff0000"">-39%</nobr>","<nobr><font color=""#ff0000"">-50%</nobr>"
Fox,10315,8,"<a href=""/studio/chart/??view2=calendar&amp;yr=2018&amp;studio=universal.htm"">Uni.</a>","<nobr><font color=""#ff0000"">-19%</nobr>","<nobr><font color=""#ff0000"">-39%</nobr>"
Par.,451945,9,"<a href=""/studio/chart/??view2=calendar&amp;yr=2018&amp;studio=lionsgatesummit.htm"">LG/S</a>","<nobr><font color=""#ff0000"">-44%</nobr>","<nobr><font color=""#ff0000"">-83%</nobr>"
Fox,10315,10,"<a href=""/studio/chart/??view2=calendar&amp;yr=2018&amp;studio=warnerbros.htm"">WB</a>","<nobr><font color=""#ff0000"">-19%</nobr>","<nobr><font color=""#ff0000"">-60%</nobr>"
Uni.,27307,11,"<a href=""/studio/chart/??view2=calendar&amp;yr=2018&amp;studio=ifc.htm"">IFC</a>",-,-
LG/S,511257,12,"<a href=""/studio/chart/??view2=calendar&amp;yr=2018&amp;studio=fathom.htm"">Fathom</a>","<nobr><font color=""#0000ff"">+16370%</nobr>",-
Searching,489999,$532566,2009,$20393299,26
Unbroken: Path to Redemption,506680,$378602,1620,$2832828,5
The Meg,345940,$372925,2851,$137750570,40
Mission: Impossible - Fallout,353081,$292851,1761,$216581602,54
Moses,547967,$291324,673,$1807117,8
Fahrenheit 11/9,1777,$1063442,1719,$1063442,1
Life Itself,250766,$747398,2609,$747398,1
Operation Finale,493551,$2075076,1818,$5513077,4
CHRISTOPHER ROBIN,420814,$2025660,2925,$83685698,30
Alpha,399360,$1769850,2881,$25698227,16
The Happytime Murders,412988,$1631428,3256,$15428583,9
BlacKkKlansman,487558,$1566980,1766,$36788715,23
Mile 22,347375,$1349587,2950,$30428779,16
Incredibles 2,260513,$1346080,2890,$602579381,81
Dragon Ball Z: Broly,44251,$301547,681,$658869,3
Mamma Mia! Here We Go Again,458423,$2863700,3514,$79857195,13
Hotel Transylvania 3: Summer Vacation,400155,$2253664,4005,$126378692,20
The Equalizer 2,345887,$1545485,3388,$69673844,13
Ant-Man and the Wasp,363088,$1376054,3013,$188053779,27
Teen Titans Go! To The Movies,474395,$1249517,3188,$14890018,6
Jurassic World: Fallen Kingdom,351286,$1024875,2685,$400789005,41
Skyscraper,447200,$782975,2773,$61685075,20
The First Purge,442249,$346175,1400,$66629980,29
The Spy Who Dumped Me,454992,$5011316,3111,$5011316,1
The Darkest Minds,445651,$2330430,3127,$2330430,1
Slender Man,439015,$4846868,2358,$4846868,1
Elvis: 68 Comeback Special,147222,$478804,668,$479326,4
A.X.L.,438590,$821333,1710,$821333,1
Kin,425505,$1056814,2141,$1056814,1
Sicario: Day of the Soldado,400535,$5342307,3055,$19007566,3
Uncle Drew,474335,$3940094,2742,$15242781,3
Oceans 8,402900,$2614249,3426,$115004842,24
Tag,455980,$1883855,3176,$41133539,17
Deadpool 2,383498,$1134957,2094,$310474309,45
Sanju,496328,$917553,356,$2723658,3
Solo: A Star Wars Story,348350,$859698,1654,$207673785,38
Wont You Be My Neighbor?,490003,$852435,654,$7619057,24
Hereditary,493922,$425975,1424,$39832539,25
Sorry to Bother You,424781,$1489096,805,$2554048,8
Unfriended: Dark Web,505058,$1401070,1546,$1401070,1
Avengers: Infinity War,299536,$628375,2164,$666473647,55
Superfly,500475,$624364,2220,$11388528,8
Book Club,502682,$455760,1656,$63360968,34
Adrift,429300,$359632,1929,$28058478,20
Bandstand: The Broadway Musical,532183,$426468,625,$426468,1
Upgrade,500664,$1674340,1457,$1674340,1
Life of the Party ,399796,$1061757,2511,$43907387,22
Action Point,454283,$797422,2032,$797422,1
Breaking In,497814,$794325,1682,$39324340,22
Overboard,454619,$505023,1228,$44053217,29
A Quiet Place,447332,$793631,1156,$183046912,58
Show Dogs,425148,$252262,2327,$15391818,20
Hotel Artemis,406761,$1109293,2407,$1109293,1
A Wrinkle in Time,407451,$754127,245,$98982254,99
Gotti,339103,$545707,503,$1719902,3
